mode,expert,fold,pos_rate,pr_auc,recall_at_p80,recall_at_p90,recall_at_p95
logit,Concerto decoder,0,0.020069611378205128,0.47782573103904724,0.0001559575757710263,0.0001559575757710263,0.0001559575757710263
feature,Concerto decoder,0,0.020069611378205128,0.46851563453674316,0.004210854414850473,0.0032751092221587896,0.002339363796636462
logit,Sonata linear,0,0.021440554887820512,0.36430051922798157,0.0005839415825903416,0.0005839415825903416,0.0005839415825903416
feature,Sonata linear,0,0.021440554887820512,0.3536737263202667,0.004087591078132391,0.0023357663303613663,0.0011678831651806831
logit,Utonia,0,0.022658128004807692,0.44472768902778625,0.002900953171774745,0.0015195468440651894,0.0008288437384180725
feature,Utonia,0,0.022658128004807692,0.4335193336009979,0.004006078001111746,0.000966984371189028,0.000966984371189028
logit,PTv3_supervised,0,0.01818221654647436,0.44010791182518005,0.0,0.0,0.0
logit,Concerto decoder,1,0.021778595753205128,0.45907342433929443,0.0,0.0,0.0
feature,Concerto decoder,1,0.021778595753205128,0.47329726815223694,0.0,0.0,0.0
logit,Sonata linear,1,0.019975711137820512,0.3527096211910248,0.0014102162094786763,0.0014102162094786763,0.0
feature,Sonata linear,1,0.019975711137820512,0.3452974557876587,0.0012535254936665297,0.0001566906867083162,0.0001566906867083162
logit,Utonia,1,0.023465670072115384,0.4456770718097687,0.0,0.0,0.0
feature,Utonia,1,0.023465670072115384,0.4494299292564392,0.00013338668213691562,0.00013338668213691562,0.00013338668213691562
logit,PTv3_supervised,1,0.020057091346153848,0.41077038645744324,0.0,0.0,0.0
