target_id,target_name,pred_id,pred_name,count,fraction_of_target
10,picture,0,wall,73881,0.493830543821186
10,picture,10,picture,73781,0.49316213036736
10,picture,19,otherfurniture,526,0.0035158547671247527
10,picture,9,bookshelf,508,0.003395540345436073
10,picture,8,window,401,0.0026803379498422544
10,picture,3,bed,120,0.0008020961445911984
10,picture,13,curtain,120,0.0008020961445911984
10,picture,4,chair,99,0.0006617293192877386
10,picture,12,desk,60,0.0004010480722955992
10,picture,1,floor,57,0.00038099566868081923
10,picture,7,door,48,0.00032083845783647933
10,picture,6,table,6,4.010480722955992e-05
10,picture,2,cabinet,1,6.684134538259986e-06
11,counter,11,counter,129894,0.8212458983226589
11,counter,2,cabinet,11272,0.07126644622456012
11,counter,0,wall,5884,0.03720118608812205
11,counter,6,table,5767,0.03646146161968047
11,counter,17,sink,3910,0.024720706594928147
11,counter,8,window,1175,0.007428856841186847
11,counter,14,refridgerator,129,0.0008155936446920028
11,counter,9,bookshelf,72,0.0004552150575025132
11,counter,19,otherfurniture,38,0.00024025239145965973
11,counter,1,floor,24,0.0001517383525008377
11,counter,4,chair,2,1.2644862708403143e-05
12,desk,12,desk,406939,0.8719909659336844
12,desk,6,table,21614,0.04631458950282636
12,desk,9,bookshelf,12634,0.027072199675150746
12,desk,0,wall,11927,0.02555723646711437
12,desk,2,cabinet,5189,0.011119015681047745
12,desk,1,floor,3761,0.008059089993528728
12,desk,4,chair,2234,0.004787026600782553
12,desk,19,otherfurniture,1451,0.003109210204895024
12,desk,3,bed,415,0.0008892641178714231
12,desk,8,window,320,0.0006856976330574829
12,desk,14,refridgerator,145,0.0003107067399791719
12,desk,7,door,45,9.642622964870853e-05
12,desk,5,sofa,3,6.4284153099139025e-06
12,desk,10,picture,1,2.142805103304634e-06
17,sink,17,sink,53300,0.79245900176928
17,sink,2,cabinet,6103,0.09073878588739054
17,sink,11,counter,3013,0.044796978842980124
17,sink,6,table,1492,0.02218290489005189
17,sink,19,otherfurniture,1363,0.020264945955188154
17,sink,0,wall,1009,0.015001709808352786
17,sink,8,window,628,0.009337040396080822
17,sink,5,sofa,325,0.004832067083959024
17,sink,4,chair,16,0.00023788637951798272
17,sink,15,shower curtain,5,7.43394935993696e-05
17,sink,1,floor,4,5.947159487949568e-05
17,sink,18,bathtub,1,1.486789871987392e-05
2,cabinet,2,cabinet,827579,0.8281495950710039
2,cabinet,0,wall,82870,0.0829271367972533
2,cabinet,19,otherfurniture,19767,0.01978062885327991
2,cabinet,11,counter,12407,0.01241555431692436
2,cabinet,1,floor,12065,0.01207331851645784
2,cabinet,7,door,12055,0.012063311621707356
2,cabinet,14,refridgerator,7518,0.007523183473413182
2,cabinet,12,desk,6039,0.006043163739816734
2,cabinet,6,table,4479,0.004482088158741373
2,cabinet,9,bookshelf,3610,0.003612489004924393
2,cabinet,8,window,3273,0.003275256651833113
2,cabinet,17,sink,2808,0.0028099360459356497
2,cabinet,13,curtain,1533,0.0015340569652490567
2,cabinet,3,bed,1104,0.0011047611804533323
2,cabinet,5,sofa,842,0.0008425805379906756
2,cabinet,4,chair,831,0.0008315729537651442
2,cabinet,10,picture,526,0.0005263626638754102
2,cabinet,15,shower curtain,5,5.0034473752415414e-06
15,shower curtain,15,shower curtain,76438,0.7565497104963627
15,shower curtain,13,curtain,13054,0.1292027515217499
15,shower curtain,0,wall,5489,0.05432770821992379
15,shower curtain,7,door,3970,0.03929331419805018
15,shower curtain,18,bathtub,1578,0.015618350076706092
15,shower curtain,1,floor,312,0.0030880387984361856
15,shower curtain,8,window,148,0.0014648389172069085
15,shower curtain,17,sink,45,0.0004453902113129114
15,shower curtain,2,cabinet,1,9.89756025139803e-06
7,door,7,door,930153,0.8559939630142597
7,door,0,wall,107013,0.09848109070663102
7,door,8,window,26366,0.02426389726080975
7,door,19,otherfurniture,9300,0.008558531613651318
7,door,1,floor,4709,0.0043335618676004365
7,door,13,curtain,4620,0.004251657640330009
7,door,2,cabinet,1808,0.001663852167471138
7,door,15,shower curtain,1231,0.0011328550985381476
7,door,14,refridgerator,470,0.00043252794176517413
7,door,4,chair,361,0.0003322182701643146
7,door,9,bookshelf,243,0.00022362614861476024
7,door,18,bathtub,128,0.00011779484371477082
7,door,5,sofa,109,0.00010030967160085954
7,door,3,bed,96,8.834613278607812e-05
7,door,12,desk,15,1.3804083247824707e-05
7,door,6,table,9,8.282449948694824e-06
7,door,16,toilet,4,3.6810888660865882e-06
