pair,positive_class,negative_class,stage,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
counter_vs_cabinet,counter,cabinet,point_feature,unweighted,0.9328555166721344,0.0016481775394995987,0.9304003447294236,0.9361707299947739,0.9660305380821228,0.0013004686512502327,0.9640609979629516,0.9689538702368736,0.8888770341873169,0.9768339991569519,0.9596663117408752,5324,60000,9359,38591,65324,
counter_vs_cabinet,counter,cabinet,point_feature,balanced,0.9319426715373993,0.0014248436629044983,0.9295323744416237,0.9346088178455829,0.9605193138122559,0.0013303603002999473,0.9578407943248749,0.9627928644418716,0.9109947681427002,0.9528905749320984,0.9447132349014282,5324,60000,9359,38591,10648,
counter_vs_cabinet,counter,cabinet,point_feature,weighted,0.9327981173992157,0.0016751525091859227,0.9292954236268998,0.9353943139314651,0.9658637046813965,0.0013161788553843709,0.9632002264261246,0.9678048908710479,0.9092851877212524,0.956311047077179,0.947132408618927,5324,60000,9359,38591,65324,11.269722013523666
counter_vs_cabinet,counter,cabinet,linear_logits,unweighted,0.9352273643016815,0.0016354666678932274,0.9322483204305172,0.9382284484803677,0.9786786437034607,0.000895127581240492,0.9769907966256142,0.9803165182471275,0.8846030831336975,0.9858516454696655,0.96608966588974,5324,60000,9359,38591,65324,
counter_vs_cabinet,counter,cabinet,linear_logits,balanced,0.9407310783863068,0.0014778897077284783,0.9379122085869313,0.9431945562362671,0.9798060059547424,0.0007837514690190487,0.9781289607286453,0.9810641586780549,0.9155892729759216,0.9658728837966919,0.9560583829879761,5324,60000,9359,38591,10648,
counter_vs_cabinet,counter,cabinet,linear_logits,weighted,0.9450516402721405,0.0014368868426167698,0.9417912200093269,0.947464494407177,0.9813395738601685,0.0008312416305166442,0.9797251194715499,0.9827099606394768,0.9177262783050537,0.9723770022392273,0.9617100954055786,5324,60000,9359,38591,65324,11.269722013523666
counter_vs_cabinet,counter,cabinet,linear_logits,direct_pair_margin,0.9598044753074646,0.0013146166856530263,0.9574265733361245,0.9620470464229584,0.9842048287391663,0.0008346523999621836,0.982650664448738,0.9857097491621971,0.9408056139945984,0.9788033366203308,0.9713868498802185,5324,60000,9359,38591,0,
door_vs_wall,door,wall,point_feature,unweighted,0.9136731028556824,0.000946740590427795,0.9121890559792518,0.9153742752969265,0.92409747838974,0.0010320217647790885,0.9223801419138908,0.9260936111211777,0.8580462336540222,0.9692999720573425,0.9246865510940552,47434,60000,40168,60000,107434,
door_vs_wall,door,wall,point_feature,balanced,0.9133146107196808,0.0007294660600742247,0.9117672726511955,0.9144651427865028,0.9245284795761108,0.0010382019699858786,0.9225284546613693,0.9260809645056725,0.8601125478744507,0.9665166735649109,0.9238479137420654,47434,60000,40168,60000,94868,
door_vs_wall,door,wall,point_feature,weighted,0.9131015241146088,0.0009685990530850257,0.911044568568468,0.9149362675845623,0.9246051907539368,0.0011226526430484676,0.9225456967949868,0.9266893461346626,0.8603863716125488,0.9658166766166687,0.9235384464263916,47434,60000,40168,60000,107434,1.2649154614833242
door_vs_wall,door,wall,linear_logits,unweighted,0.9038877487182617,0.0009198650849176913,0.9026428997516632,0.9059197075664998,0.9409863352775574,0.0007981282563526593,0.939877663552761,0.9426470622420311,0.8570255041122437,0.9507499933242798,0.9131658673286438,47434,60000,40168,60000,107434,
door_vs_wall,door,wall,linear_logits,balanced,0.90376016497612,0.0008870801883377321,0.9019257955253124,0.9053912661969662,0.9426246285438538,0.0006868551309038011,0.9411824896931649,0.9439389646053314,0.8602370023727417,0.9472833275794983,0.9123771786689758,47434,60000,40168,60000,94868,
door_vs_wall,door,wall,linear_logits,weighted,0.903443306684494,0.0008023899566717553,0.9020883798599243,0.905199583619833,0.9426425099372864,0.0007011439591155545,0.9410518869757653,0.9439069598913192,0.8603366017341614,0.9465500116348267,0.9119778871536255,47434,60000,40168,60000,107434,1.2649154614833242
door_vs_wall,door,wall,linear_logits,direct_pair_margin,0.910231739282608,0.0009549837403568728,0.9085109576582908,0.912065026909113,0.954526960849762,0.0006869947368823046,0.9533296301960945,0.956219145655632,0.8241634964942932,0.9962999820709229,0.9272722005844116,47434,60000,40168,60000,0,
