log,status,val_miou_last,val_macc_last,val_allacc_last,best_metric_name,best_metric_value,val_eval_count
exp/concerto/scannet-proxy-concerto-continue-lin/train.log,finished,0.4794,0.6114,0.7718,mIoU,0.4552,11
exp/concerto/scannet-proxy-coord-mlp-continue-lin/train.log,finished,0.4064,0.5503,0.7422,mIoU,0.3829,11
exp/concerto/scannet-proxy-no-enc2d-continue-lin/train.log,finished,0.4010,0.5440,0.7391,mIoU,0.3765,11
exp/concerto/scannet-proxy-no-enc2d-renorm-continue-lin/train.log,finished_val_full_test_aborted_disk,0.3794,0.5510,0.7282,mIoU,0.3802,10
exp/concerto/scannet-proxy-projres-v1a-alpha005-h10032-qf32-lin/train.log,finished_no_go,0.3627,0.5083,0.7247,mIoU,0.3627,10
exp/concerto/scannet-proxy-projres-v1b-combo-b075-a001-h10016x4-qf16-lin/train.log,finished_no_strong_go,0.4220,0.5719,0.7469,mIoU,0.4220,10
exp/concerto/scannet-proxy-projres-v1b-resonly-b075-a000-h10016x4-qf16-lin/train.log,finished_no_strong_go,0.4176,0.5625,0.7444,mIoU,0.4176,10
exp/concerto/scannet-proxy-projres-v1b-combo-b050-a002-h10016x4-qf16-lin/train.log,finished_no_strong_go,0.4129,0.5551,0.7441,mIoU,0.4129,10
exp/concerto/scannet-proxy-projres-v1b-penalty-b000-a002-h10016x4-qf16-lin/train.log,finished_no_strong_go,0.3887,0.5308,0.7324,mIoU,0.3907,10
exp/concerto/scannet-proxy-projres-v1c-mlpz-b075-a001-h10016x3-qf16-v1c-lin/train.log,finished_no_strong_go,0.4186,0.5692,0.7490,mIoU,0.4186,10
exp/concerto/scannet-proxy-projres-v1c-linxyz-b075-a001-h10016x3-qf16-v1c-lin/train.log,finished_no_strong_go,0.4110,0.5509,0.7430,mIoU,0.4158,10
exp/concerto/scannet-proxy-projres-v1c-linz-b075-a000-h10016x3-qf16-v1c-lin/train.log,finished_no_strong_go,0.4069,0.5598,0.7437,mIoU,0.4069,10
exp/concerto/scannet-proxy-arkit-full-original-long-e025-qf32-continue-lin/train.log,finished_longhorizon_e025_reference,0.5531,0.6832,0.8070,mIoU,0.5531,10
exp/concerto/scannet-proxy-arkit-full-projres-v1b-combo-b075-a001-long-e025-qf32-continue-lin/train.log,finished_longhorizon_e025_same_stage_tie,0.5526,0.6807,0.8080,mIoU,0.5526,10
